deathRate,medIncome,povertyPercent,MedianAge,AvgHouseholdSize,PercentMarried,PctHS18_24,PctBachDeg18_24,PctUnemployed16_Over,PctPrivateCoverage,PctPublicCoverage,PctMarriedHouseholds,BirthRate
140.8,41837,28.4,24.2,2.31,36.1,16.4,10.3,8.8,78.3,22.9,40.55405483,3.304159034
169.4,44342,20.5,32.5,3.05,48.6,39.3,3,9,54.6,35.7,50.66898414,6.560611666
189.7,35615,21.5,41.5,2.68,52,36.1,8.3,9,55.6,44.8,55.28885946,2.292860865
206.1,56737,13.2,38.4,0.0263,51.8,40.8,10,9.7,70,33.1,51.52350516,4.872468117
236.7,37625,22.1,41.9,2.5,55.2,42.9,5.2,9.2,60.2,46.3,53.06378967,4.220287661
196.3,33817,22.2,44.5,2.51,52.4,46.2,3.4,14.4,56.1,43.4,53.27269485,5.469020422
186.2,43572,15.1,45.9,2.26,50.3,30.6,3.8,6.4,68.3,39.7,47.58723829,4.970530452
194,34887,21.9,38.5,2.32,43,28.2,11.5,6.8,63.3,39,40.76501639,4.521925134
226.5,32162,21.8,47,2.44,55.7,31.4,0,18.1,52.4,46,53.33333333,4.780114723
212.9,32961,25.1,43.3,2.62,55.8,51.1,0,12.3,48.7,52,58.09248555,8.753056235
185.6,41838,17.4,43.7,2.85,45.8,61.7,1.9,6.5,55.2,45.2,53.92670157,6.016466118
217,36739,21.4,43.2,2.47,50.9,49.3,4.4,9.2,53.4,47.8,49.88397759,6.526136485
209.9,32705,28.9,38.4,2.4,43.2,29.4,3.9,9.4,61.3,39,52.58746356,2.328431373
128,41039,17,45.6,0.028,50.5,41.5,8.4,6.7,65.1,42.4,55.4011976,3.528435035
195.1,36996,21.1,45.3,2.28,52.2,36.6,13.3,7.2,61.9,43,47.48027903,4.354354354
212.1,35980,21.2,44.6,2.25,38.7,47.4,5.3,8.1,50.5,44.7,33.68648224,2.28320067
184.1,48178,12.9,45.6,2.32,51.8,23.8,14.8,7.2,69.5,37.6,48.44113541,5.693029274
153,41010,15.3,44.5,2.69,50.1,54.2,3.9,7.9,65.8,38.2,51.41582622,2.955003358
206.7,42121,13.9,42,2.48,52.4,38.6,9.5,7.4,64,39.5,49.69820377,5.060383303
194.2,41121,16.7,42.6,2.62,54.5,41.2,9.2,6.8,66.9,40.6,55.45062062,4.735242361
178.2,66950,10.2,39.7,2.65,53.3,24.5,6.2,8.4,73.3,29.2,54.09965078,4.995519713
205.4,43936,16.8,42.8,2.28,47.9,33,7.6,7,66,39.4,43.74346505,4.091266719
218.4,40568,20,43.3,2.48,50.6,41.8,9.8,7.2,56.4,46.8,49.87741342,4.374100719
226.9,34295,24.4,41.9,2.69,50.6,50.7,5.2,10.1,51.7,52.6,52.9271954,2.635983264
240.1,36437,20.2,42.6,2.5,53.1,45.9,2.2,10.9,56.1,45.5,52.33924375,4.195713917
234.8,24707,34.9,44.1,2.39,46,51.6,3.1,13.3,39.7,58.5,44.26650367,3.860072376
188.8,43729,17.9,41.1,2.47,51,34.4,5.4,4.9,67.6,35.7,49.46399182,5.113459745
184.6,43356,15.2,44.3,2.36,57.7,45.9,9.2,7,70.3,37.5,55.3172673,3.174132305
209.5,35799,20.6,43,2.44,51.6,42.5,3.3,10.3,59.6,47.6,50.71046319,3.66910141
210,35046,20.5,42.3,2.39,50.6,37.3,6.1,5.1,56.4,48.2,48.3713803,4.807972069
198.4,40012,16.1,43.2,2.4,44.2,48.4,4.8,8.8,58.6,39.4,42.97381269,7.391231312
240.8,29839,28.1,41.7,2.38,55.6,47.3,0.6,14.1,51.6,50.9,52.14865363,2.796024928
155.9,43835,22.5,30,2.56,37.2,23.8,14.5,5.8,76.5,23.3,40.42122317,4.001671717
190.7,36351,19.3,46.6,2.3,56.8,42,0.3,7.3,60.5,45.2,53.16042597,6.07651913
209.7,44446,13,46.1,2.36,47.7,53.1,7.6,12.3,63.7,38.4,45.14153511,4.090035685
199.8,36375,19.6,43.4,2.39,57.9,44.2,1.3,8.4,61.6,44.1,55.74302401,3.346456693
184.4,40195,18.4,43.3,2.24,45.2,26.7,8.1,5.5,70.9,36.2,42.92698827,3.257226644
139.8,38204,16.7,49.1,2.35,55.3,41.3,3.6,4.9,59.8,45.3,54.86268174,7.611940299
213.3,44801,16.5,43.6,2.43,55,47.1,4.3,8.2,71.6,36.8,56.79225717,2.966381015
176.8,34341,17.6,48.4,2.24,56.4,54.9,8,5.7,60,44.9,53.27803051,4.256631709
169.8,41420,17.6,42.3,2.52,53.3,44.6,5.9,7,63.5,39.3,56.80724824,4.038301415
171.5,59472,10,41,2.6,57.4,43.6,5.8,3.7,73.6,31.2,58.72299258,6.034482759
198.2,40270,17.7,41.6,2.4,51.3,41.1,8.3,6.6,60.6,44.6,49.67065294,3.77850558
168.6,37468,20.8,43.2,2.35,52.2,35.7,7.6,6.7,59.6,43.3,51.97613076,4.231027535
214.7,46383,17.7,45.2,2.56,49.5,38,0.3,10.6,57.4,46.9,49.74632166,6.267539757
204,33041,23.1,44.2,2.48,53.9,45.8,10,8.9,51.6,51.8,52.19686649,2.353331124
170.4,32456,25.8,46.3,2.22,53.5,46.2,8.4,10,60.2,49.6,50.44770774,3.812668868
172.2,40305,16.8,43,2.45,52.3,44.6,5,9.5,63.7,42.6,52.0647653,6.801152738
168.1,36466,17.1,47.7,2.26,60.5,50.6,0,7.6,68,39.3,56.87707641,3.868613139
168.1,36466,17.1,NA,2.26,60.5,50.6,0,7.6,68,39.3,NA,3.868613139
199.1,41019,15.8,46.2,2.48,53.5,44.1,6.3,10.9,62.3,43,52.40597345,1.988950276
189.5,38387,19.7,41.8,2.57,51.5,39.1,6.1,8,59.7,40.2,53.55768173,5.300938708
183.8,37242,20,42.5,2.47,48.9,43.3,3.2,9.9,54.6,45.6,47.52860823,4.112005292
259.5,29331,26.1,46.3,2.28,54.1,54.6,2.8,14.8,45.1,53.3,48.72652431,4.203539823
202.6,40013,18.5,46,2.46,51.4,52.5,3.2,8.1,63.5,44.6,51.70881226,6.161137441
185.8,38600,20.3,45,2.4,52.2,31.6,2.3,8.4,61.6,41.4,51.76954733,5.968928863
185.5,41932,17.2,42.5,2.37,51.1,36.5,4.2,8.6,63,42,47.88351017,6.23870268
235.4,34419,22.8,42.8,2.48,55.7,33.7,3.6,10.1,54.6,49.9,54.03848244,6.018614271
206,42063,17.8,51.4,2.47,50.9,44.6,3.3,10.1,63.9,50.8,54.12278449,3.861129137
217.5,41294,14.9,42.2,2.29,45.9,31.3,6,7.9,62.7,42.5,42.79547484,6.460336538
168.4,46375,13.7,43.9,2.35,55.8,44.4,3.3,6,68.4,39.2,52.64644351,5.884312202
171.7,44395,13.6,50.8,2.16,58.5,28.8,4.5,7.2,65.9,44.1,52.79664691,5.547054323
158.6,54141,12,36.8,2.46,51.4,28.7,9,6.1,72.5,30,49.80425278,5.921762149
166.4,50998,10.5,45,2.29,59,39,5.5,3.7,73.4,34.5,54.08074857,7.17472119
190.1,41810,16.5,50.9,2.08,59,34.9,6.8,7.5,64.2,48.2,51.08041575,4.96054115
157.9,68430,5.9,39,2.66,62,27.9,11.9,3.1,84.1,22.4,62.98229565,4.330985915
160.1,52485,10.7,40.6,2.44,55.6,36.1,7,5.1,73.4,33.9,55.24062236,5.497771174
157.6,45316,16,37.1,2.65,58.2,35.4,2.7,4.8,56.6,34,57.41970774,9.86429301
176.6,59020,8.8,42,2.44,54.9,39.2,8.1,5.8,78.2,29.4,54.30466505,4.654466449
176.4,43562,14.7,45.9,2.38,52.3,48.5,4.9,6.5,67.4,41,51.27585686,5.300353357
153.8,61937,13.4,34.6,2.35,47.5,21.9,21.4,4.9,82.5,22.6,45.26843317,4.458527742
178.9,54359,9.9,42,2.51,51.1,45.6,6.2,6,77.7,30.3,53.53820299,4.49736915
158.7,49717,11,51.7,2.11,62.6,31,11.1,6.2,75.8,39.5,56.50832819,4.481380181
192.8,46475,13.9,40.6,2.28,47.6,26.9,7.5,7,66.5,37.9,44.24412034,6.150455775
155.6,52224,13.9,34.1,2.48,47.6,25.4,5.5,6.1,72.4,32.3,51.38981814,5.116736739
163.4,48102,14.4,33.8,2.43,46.4,26.6,8.3,5.8,74.8,29.4,46.89544532,4.346348463
171.9,44562,12.8,51.1,2.32,59.9,15.7,0,7.2,68.9,41.8,57.93067227,3.462050599
159.4,52149,9.9,41,2.4,54.8,33.8,6.2,5.3,77.1,30.6,53.51968638,4.541733098
166.4,41418,17,45.3,2.33,52.8,42.2,4.4,10.1,59.8,43.9,51.39107612,7.250418293
166.9,46972,15,36.1,2.44,48.6,23.8,4.7,4.6,74.8,30.4,51.66349565,5.174434328
158.4,53328,8.7,42.2,2.47,56.7,40.9,12.4,3.5,78.2,30.2,55.2736352,5.46031746
152.3,61802,8.2,458.4,2.46,58.1,22.7,6.2,3.5,83.4,24.3,60.49149338,9.675645959
169.9,40351,16,46.1,2.29,56.5,26.2,5.4,1.4,64.9,38.3,52.45683931,5.360824742
187.4,43883,12.1,49.5,2.21,61,14.8,14.2,3.1,75.6,35.3,53.95787945,7.992565056
138.2,55955,9.2,38.8,2.61,62.7,29.1,5.3,2.6,76.1,28,61.73052088,5.678233438
120.2,49517,10.7,48.9,2.15,67,22.7,9.2,1.7,74,36.1,59.54720205,6.35451505
215,41344,34,28.6,3.3,40.9,32.9,3,14.4,39.9,39.1,41.69865643,8.467741935
156.3,44726,12.3,46,2.21,64.2,34.4,3.1,1.4,70.5,38.3,56.87928308,5.01285347
159.2,69191,7.4,41.2,2.48,63.5,24.9,11.2,1.4,82.4,22.9,62.95743092,5.725611099
142.1,53290,13.6,30.1,2.33,53.9,17.7,2.4,3,82.7,22.2,58.74285714,5.981533521
162.7,40979,12.7,47.5,2.31,57.2,31.1,3.5,4.7,69.1,38.3,54.25257732,3.524229075
164.7,51335,10.6,41.3,2.31,56.5,25.8,5.3,2,77.4,28.9,55.1213419,6.993486459
211,46840,13.2,38.9,2.51,51.6,39.3,1.4,11.9,63,37,49.69920844,7.724034496
167.7,51241,15.6,36.4,2.78,44.6,35.5,4.9,10.8,62.9,27.3,43.81306543,5.125073246
145.2,60322,10.3,49.4,2.37,58.9,38.6,5,8.5,70.7,35.8,56.13529501,5.193753615
143.2,72648,10.8,33.5,2.87,56.6,33.7,5.1,5.5,73,18.5,57.82097649,6.700733537
262.1,47180,14,46.5,2.35,44.3,62.7,0,11.9,56.5,37.1,40.57971014,4.326923077
178.7,70535,9.8,43.9,2.17,64.7,19.2,0,4.7,76.4,18.6,56.06258149,2.412868633
191.5,67423,10.7,35.3,2.74,51.6,40.2,4.7,7.8,69.4,20.6,51.35794438,5.517423442
123.8,74347,11,37.2,2.79,54.3,51.6,3.3,12,69.1,24.4,56.90633869,11.63179916
127.4,45629,15.1,37.4,2.55,56.8,38.4,0.8,11.8,64.1,31.5,59.21402018,4.519774011
195.7,48576,13.7,43.2,2.63,51.1,36.7,0.2,13.6,61.1,37.5,51.96681008,4.62962963
254.3,40714,19,48.7,0.0225,41.8,42.3,0,15.4,58.1,43.2,34.42211055,9.518477044
213.5,42881,16.8,50.8,0.0242,54.4,41.2,3.3,13.4,53.1,48.2,52.18339358,6.302577113
121.8,52001,18.5,41.3,2.29,44.8,28.9,0,9.5,59.9,34.7,51.4162266,14.62113127
132.6,55291,8.4,54.7,2.2,53.5,43.5,13.7,10.3,68.5,34.1,52.23542728,1.17820324
166,52862,15.4,37.6,2.58,47,28.7,7.8,9.1,65.4,28.1,45.20183955,5.642578635
188.4,57243,13.7,39.4,2.71,44.8,47.1,4.3,10.6,67.6,31.9,53.24756825,5.470459519
193.5,45639,19.3,42.6,2.43,45.1,33.7,5.1,11.3,61.3,35.6,42.93785311,4.262413265
182.6,59831,10,46.1,2.42,54.2,37.9,10.5,5.3,69.6,33.9,53.36016587,4.824422651
168.8,57556,10.7,50.3,2.22,59.4,44.4,3.4,5.8,70,36.4,54.68263699,7.381867511
162.8,56008,11.8,42,2.34,48.4,24.1,9,6.1,75,28.7,48.86415562,4.687933426
181.6,42491,14.9,48.1,2.13,51.5,43.9,7.6,6.9,61.8,43.5,48.23214537,5.975049245
155,56353,11.6,41.9,2.35,48.5,25.6,10.9,5,72.3,29.4,49.5875553,6.078496198
163.2,71233,8.7,40.1,2.55,51.4,31.8,14.9,5.9,76.7,25.2,51.98701098,5.055576216
173.1,62429,9.5,42.6,2.49,51.5,29.9,9.3,5.2,76.3,28.3,53.12759016,3.901815696
172.2,79653,6.1,43.5,2.51,56.8,30.9,16.9,5.6,82.7,22.3,57.13535713,4.370734571
177.6,58577,11.8,37.2,2.48,46.8,23.5,7.9,6.5,74.8,26.2,49.94167427,3.681800261
171.9,57142,10.4,45.1,2.44,50.9,44,6.6,5.8,69.6,33.3,49.85074627,3.657874742
179.5,54208,15.1,40.6,2.64,45.1,32.4,9.4,12.5,66.9,33.4,44.80543715,4.69661296
147.3,84309,7.6,41.5,2.73,54.2,25,17.6,6.5,75.5,23.3,56.4163314,4.077070131
171.6,80479,7.2,41,2.66,50.8,34.5,13,8.5,81.4,25.7,53.74561974,4.910516481
182.8,61685,13,38.3,2.71,44.7,33.2,11.6,10.2,68.3,31.9,45.97396038,5.434939238
193.1,55409,13,48.3,2.3,53.4,33.2,10.7,10,72.1,38.2,51.14075027,5.43325019
189.6,45438,19.5,36.9,2.86,39.6,40.9,7.5,11.1,59.4,38.4,43.66264295,5.846434788
161.8,54603,16.7,36.9,2.77,39.1,29,11.1,13,59.9,31.7,39.00426129,5.084469955
193.5,78983,8.2,39.6,2.74,51.7,30.4,10.9,9.2,78,26.2,55.37173438,4.878014043
152.6,57720,17.7,34.7,2.63,41.5,25,19.1,9.3,56.5,29.6,38.47522277,5.344239425
145.1,103876,4.7,45,2.6,57.7,29.8,15.1,5.9,87.5,20.5,62.07381821,4.22223833
160.3,73750,11.8,38.4,2.69,47.2,25,12,9.4,73.1,27.4,49.8130927,4.725836381
156.7,77330,8.3,37.7,2.85,51.6,22.1,14.1,7.5,74.6,23,55.65982883,5.074989438
168.6,87220,8.2,42.3,2.67,53.2,26.8,17.4,7.9,78.8,24.2,55.28066751,4.571872443
150.3,100511,5,42,2.72,56.7,25.9,20.6,6.3,84,19.8,59.86962292,3.635690867
174.2,62937,11.9,42.8,2.59,53.6,29.3,12.4,8.8,70.9,38.5,53.40548509,6.13243835
159.1,58030,18.2,36.5,3.09,44.3,32.8,10.3,8.6,55.8,35.3,48.72735839,4.533343875
194.8,56645,13.1,41.8,2.61,48.7,36.5,9.1,10.6,69.1,35.2,49.59953998,5.98109071
153.3,100194,5,40.8,2.81,56.6,27.4,18.7,6,82.2,19.2,60.66311488,4.842990108
176.4,82048,6.2,43.4,2.67,55.9,28,13,8.2,80.9,22.2,59.78569177,4.625184917
155.6,68172,11.1,38.1,2.91,46.5,29.8,13,9.8,65.9,27.5,49.27138445,5.746896424
175.1,71294,8.3,42.6,2.52,54.5,27,13.2,9,76.9,26.3,54.94516044,4.839230894
147.1,47192,18.7,36.5,2.52,43.7,25.7,7.2,8.4,58.5,37.7,41.35260379,5.264795797
164.7,33256,22.2,57.1,2.44,49.4,24.1,12,4.6,62.3,44.3,53.13626532,0.689655172
164.5,38403,23.4,34.8,2.72,48.1,28.7,1.7,7.6,49.6,44.9,48.11288532,8.496374333
146.5,35081,28.8,36.2,2.98,38.1,34.1,2.5,15.3,40.4,50.4,39.63436072,6.744769874
139.9,37156,20.5,47.6,2.26,48.3,31.3,2.5,9.5,57.1,50,44.21204472,5.741042345
143.8,42620,19.2,30.7,2.72,48.7,34.4,4.3,9.1,56.9,38.7,48.77216166,7.197033541
243.6,33789,20.6,47.3,3.84,27.6,8.6,0,5.2,53.4,49.3,41.92307692,0
150.8,38974,27.9,32.4,2.8,46.2,21.3,4.8,11.5,49.6,43.5,48.15681763,5.880465757
170.8,57007,14.1,36.5,2.66,50.3,35.6,2.2,5.8,62.3,34.9,49.8110282,9.558702453
159.4,38221,19.1,46.5,2.37,45.8,30.5,2.5,9.7,57,52.6,43.28457447,5.998550199
142.8,29147,25.8,41.6,3.28,33.7,37.7,3.2,1.2,60.6,50.5,41.44295302,3.558718861
166.3,34304,24.5,41.8,2.47,46.1,48.5,0.7,12.2,42.7,51.9,44.58424508,5.485232068
166.2,58994,16.6,31.8,3.08,53.3,32.1,2.7,5.9,55.6,33.4,55.62963308,7.530333184
123.4,39995,20.1,50.4,2.33,52.2,26,9,7.3,54.5,51.7,47.57636514,8.532518066
114.5,108477,4.2,43.5,2.34,65.5,26,8.9,3.5,89.6,21.2,59.63230466,5.543652919
181.8,27268,30.6,39,2.7,47.1,44.3,0.5,13.8,37.5,55.1,44.70367094,8.62924023
137.7,29497,35.8,30.8,3.97,33.5,35.8,2.9,15.5,25,47.9,39.14033281,7.322096363
134.3,27627,24.2,42.6,2.81,41.2,10.6,27.4,5.4,27.8,62.7,43.34945586,1.084812623
161.1,41736,20.2,35.6,2.63,49.1,34.1,3.7,12.7,53.2,47.2,48.6479635,8.221797323
190.6,29069,23.9,45.7,2.59,45,36.3,4.1,5,54.8,51.2,42.24678817,4.063068526
155.5,34902,24.1,40.1,2.86,41.9,31.7,2.7,11.4,48.8,42.5,41.29643117,3.902327704
163.5,36108,24,29.4,2.62,45.1,12.8,4.9,9.7,54.7,40,45.45454545,4.392712551
135.7,56142,12.6,469.2,2.83,49.7,30.7,2.9,9.2,63.8,35.9,51.87665603,5.497053425
136.7,47520,21,34.2,3.04,46.6,31,1.5,9.2,50.4,37.1,48.79315011,6.09617959
158.2,32964,25.5,42.5,2.51,33,24.6,6.4,6.4,46.4,48.1,31.9243604,5.744748568
126.1,52628,14.2,44.4,2.35,47.6,25.9,6.9,7.9,60.1,35.9,43.68165547,4.017424976
190.3,29036,23.8,55.6,2.25,47.9,51.8,3.3,6.8,50.8,57.6,44.70658208,8.198614319
167.8,32285,31,36.8,3.43,28.5,31.9,7.5,7.3,50.5,47.1,36.04204568,2.688172043
135.2,36125,19.2,46.8,2.44,42.4,36.4,5.8,10.7,47.3,50.3,41.50030248,4.706601467
164.3,37311,27.6,43.3,2.81,49.1,30.9,2.3,11.2,42,52.1,50.52141527,2.98792117
151.6,36684,19.4,40.3,2.39,44.5,23.7,12,2.1,48.2,44.4,47.01731879,3.536585366
163.1,40591,24.5,38.5,2.78,49.2,36.2,1.6,12.4,52.6,46.1,51.14469717,6.407674997
176.1,60371,13.5,37.9,2.35,40.8,23.6,17.4,6.4,77.7,30.1,40.08229986,3.774039071
177.2,42655,18.3,38.3,2.36,47.6,21.4,5.7,9.2,67.8,38.7,49.29176921,4.844731809
162,33687,31.5,33.2,2.86,31,26.4,6.8,14,43.1,52,27.30922949,5.67890152
163.6,46283,17.2,39.9,2.37,43.8,24.4,11.6,7.8,69.2,38.9,43.30106657,4.2987606
167.9,43892,16.2,41.4,2.41,48.7,32.9,5.5,8.2,67.3,39.8,46.90374585,4.82052462
158.6,52792,12.7,42.5,0.0243,46.8,27.7,7.3,7.3,71,36.2,45.81880408,5.470136014
173.2,41757,19.3,41.7,2.36,47,25,6.5,7.8,66.5,41,45.57763418,6.073151538
183.8,48880,18.2,40.9,2.35,48.3,33.7,8.1,5.4,68.8,39,45.98629397,5.089635277
180.3,46387,16.7,43.8,0.0249,50.2,36.4,5.8,7.1,66,40.7,49.42212718,5.052412881
194.2,34842,20.5,46,2.32,52,40.7,5.1,10,59.8,42.9,47.92326567,6.007452513
111.3,38636,14.6,59,2.1,63.1,33.9,16.9,1.1,69.4,39.3,53.59477124,10.79136691
200.6,64350,10.2,44.5,2.57,58.1,36.2,7.5,8.3,76.5,29.2,59.93899339,3.667228197
149,75926,7.9,45.4,2.49,58.3,31.2,15,5.1,81.1,30.5,57.275,4.819607038
180.3,46331,14.8,45.9,2.46,53.7,41,2,5.5,65.7,31.9,49.61990325,9.290030211
195.7,76206,7.5,36.6,2.96,56.6,43.6,12.4,7.4,83.5,20.9,61.9525003,6.194544857
187.4,64305,8.8,40.7,2.66,58.5,36.6,9.3,5.4,75.6,25.5,60.48707753,6.631716907
190.6,45827,13.7,55.6,2.13,51.4,46.6,10.8,7.9,71,42.9,44.2680093,4.297328688
224.2,31429,26.6,42.8,2.52,49.8,22.9,6.5,12,52.5,48.8,51.50873478,6.208251473
136.5,122641,3.9,35.3,3.08,61.2,26.5,17.1,4,86.9,11.8,65.51325905,6.198748382
191,60121,11.5,43.7,2.64,55.1,50.4,2.7,8.1,67.4,30.2,58.25863279,5.015546843
189.8,37548,22.4,44.7,2.48,45.7,31.4,7.7,7.3,58.5,41.3,47.05491585,7.48049564
169.8,52513,12.3,44.6,2.58,52.2,31.6,10.2,6.6,65.3,33.5,53.72776334,6.25698324
157.1,58268,10.6,51.1,2.3,63.6,52.6,14.2,3.3,80.6,33.6,60.61481871,1.906898486
213.7,38500,21.1,47.2,2.41,44.4,42.3,3.4,6.9,61.7,41.1,43.75901298,4.664723032
206.9,48921,14.4,52.7,2.38,54.4,27.8,2.7,6.3,77.6,39.2,53.80009212,2.71468144
153.3,43484,24.8,27.5,2.48,39.1,11.3,13.7,5.6,82.4,19.9,43.44441603,3.135414054
194.3,48076,13.4,48.4,2.33,50,48.5,8.9,5.7,69.1,36,44.34453384,5.74048913
201.4,72406,6.2,43.1,2.61,60.6,41.3,8,6.1,83.8,21.7,63.5566516,2.628490965
227.1,36822,21.5,48.3,2.26,46.4,39.8,6.4,9.5,56.8,41.3,41.0632622,6.455750321
190.5,51422,14.3,55.1,2.1,61,50.7,0.7,8.7,76.1,43.4,54.34226241,7.278020378
201.5,37996,24.3,41.5,0.0254,42.7,40.2,0,10.8,59.2,44.1,44.24762927,7.331771008
177.3,59282,10.7,42.6,2.66,54.7,47.3,4.5,7.9,69.9,33.9,56.73692428,2.100668394
199.2,44851,16.9,44.1,2.52,53.1,41.3,7.3,9.3,63.5,35.7,53.00896287,5.963302752
178.3,34885,21.9,48,2.31,53.5,36.3,6.9,8.3,57.4,43.9,51.42490372,2.944539737
176.8,44207,14.6,546,2.36,53.5,40.7,6.3,7.7,66.2,36.2,51.5913601,4.194566305
175.1,75539,7.1,43.7,2.63,57.5,46.2,2.7,4.9,83.7,22.7,65.72456321,5.615292712
188.8,37543,25.5,32.1,2.49,36.1,21.7,4.3,7,69.6,30.4,44.6214064,7.608005083
172.1,61792,10.5,37.1,3.03,49.7,36.2,5,10.6,80.5,25.2,61.87173482,4.855936413
150.1,91886,7.2,34,3.17,55,33.9,10,5.4,78,17.1,60.21316724,6.857756326
185.8,46186,14.7,45.2,2.3,53.5,34.6,5.3,7.4,69.3,35.5,50.35228128,6.174957118
149.6,62800,9.3,49.1,2.26,63.9,47.2,3.7,2.9,68.1,31.5,58.75343721,5.182481752
176.2,42204,19.7,43.7,2.47,46.6,29,1,8.7,70.6,35.6,50.22608696,8.755129959
155.9,61935,8.2,43.5,2.4,55.7,36.9,12.5,5.1,79.6,29.1,53.38800964,5.404491669
159.2,48497,13,48.3,2.39,55,46.7,5,4.1,69.3,35,53.65382552,6.476146578
156.1,55798,11.7,41.5,2.57,57,42.3,7.1,5.4,72.9,27.2,58.19746835,4.834403227
212,37378,17.9,43.8,2.51,54,39.5,2.4,8,56.7,43.2,52.3494794,3.255738239
196.1,36290,20.8,45.4,2.34,57.6,38.3,9.9,9.4,62.7,42.7,55.30440345,2.248441674
171.4,45430,12,43.8,2.47,55.6,39.5,5.7,6,68.9,33.4,53.77866168,7.406593407
202.4,37831,19.7,44.3,2.43,51.7,44.8,4.6,6.4,59.2,41.4,49.67565455,6.188734455
181.8,46521,15.3,45.4,2.53,48.3,27.9,2.3,7.2,66.8,33.3,52.5142173,5.455508475
172.5,75714,9.2,36.7,2.97,56,40.1,10.8,6.2,78.3,21.9,61.33152745,6.051314143
175.6,92647,5.9,34.7,3.08,57.4,36.1,14.7,5.5,84.1,18.4,66.38405714,4.970818505
182.2,48707,12.9,47.5,2.56,53.2,44,14,10.7,65.2,31.4,53.5982009,4.897660819
208.4,37748,23.9,38.5,2.08,32,42.8,0.3,6.9,66.2,44.2,41.31470308,3.682946357
208.1,38292,19.2,43.1,2.38,53.9,41.1,3.7,8,59,41.7,52.52355316,6.033920417
202.5,60714,11.3,40.4,2.62,51.2,38.7,8.5,7.2,75.2,25.6,52.57588415,5.544668588
176.7,43353,14.5,44.7,2.35,53.9,34.4,8.8,6.9,67.4,37.7,52.00899749,5.091597145
179.9,48232,15,46.6,2.51,47.6,39.8,4.7,9.7,64.7,38,47.27822581,3.666942377
223.4,38528,21.9,39.8,2.46,47.5,35.6,5.9,11,59.7,42.3,49.41654648,3.651138835
175.9,41132,15.6,43.6,2.44,53.7,42.7,4,9.6,63.9,35.3,52.06945966,2.933713923
152.3,81169,5.5,39.5,2.73,61.5,36.4,11.7,5.8,87.2,20.9,64.84977289,4.925163106
135.4,86419,9.6,36,2.21,44.1,23.7,23.9,4.5,76.4,17.6,36.21615156,6.214827502
226.6,34099,21.8,41.8,2.22,46.2,41.8,3.6,10.7,57.3,42,40.54159109,3.86837478
240.8,38331,17.2,33.8,2.26,48.1,46.3,11.4,7.3,59.9,34.7,45.92619657,11.88769415
178.2,45890,25.9,29.8,0.0239,30.1,22.2,18,4.3,76.1,20.3,30.49233889,2.753790712
182.2,66625,9.8,36.5,2.75,52.5,36.1,9.7,7.5,77.9,24.9,54.73147035,5.746827092
159.3,52355,11.5,40,2.44,47.4,44.2,14.6,8.3,74.6,32.2,42.69631298,3.664122137
